report_year,company_code,company_name,issue_name,avg_verifiability_score,record_count
2022,601998,中信银行,公司治理/风险管理,5.0,3
2022,601998,中信银行,员工权益,5.0,1
2022,601998,中信银行,普惠金融,5.0,1
2022,601998,中信银行,消费者权益保护,5.0,1
2022,601998,中信银行,绿色信贷/绿色金融,5.0,1
2022,603323,苏农银行,公司治理/风险管理,3.0,3
2022,603323,苏农银行,员工权益,3.0,1
2022,603323,苏农银行,普惠金融,3.0,1
2022,603323,苏农银行,消费者权益保护,3.0,1
2022,603323,苏农银行,绿色信贷/绿色金融,3.0,1
2023,000001,平安银行,公司治理/风险管理,3.0,1
2023,001227,宁波银行,公司治理/风险管理,5.0,1
2023,002142,宁波银行(宁银消金),公司治理/风险管理,0.0,1
2023,002807,江阴银行,公司治理/风险管理,4.0,1
2023,002839,张家港银行,公司治理/风险管理,1.0,1
2023,002936,郑州银行,公司治理/风险管理,3.0,1
2023,002948,青岛银行,公司治理/风险管理,5.0,3
2023,002948,青岛银行,员工权益,5.0,1
2023,002948,青岛银行,普惠金融,5.0,1
2023,002948,青岛银行,消费者权益保护,5.0,1
2023,002948,青岛银行,绿色信贷/绿色金融,5.0,1
2023,002958,重庆银行,公司治理/风险管理,4.0,3
2023,002958,重庆银行,员工权益,4.0,1
2023,002958,重庆银行,普惠金融,4.0,1
2023,002958,重庆银行,消费者权益保护,4.0,1
2023,002958,重庆银行,绿色信贷/绿色金融,4.0,1
2023,002966,南京银行,公司治理/风险管理,4.0,3
2023,002966,南京银行,员工权益,4.0,1
2023,002966,南京银行,普惠金融,4.0,1
2023,002966,南京银行,消费者权益保护,4.0,1
2023,002966,南京银行,绿色信贷/绿色金融,4.0,1
2023,600000,浦发银行,公司治理/风险管理,4.0,3
2023,600000,浦发银行,员工权益,4.0,1
2023,600000,浦发银行,普惠金融,4.0,1
2023,600000,浦发银行,消费者权益保护,4.0,1
2023,600000,浦发银行,绿色信贷/绿色金融,4.0,1
2023,600015,华夏银行,公司治理/风险管理,3.0,3
2023,600015,华夏银行,员工权益,3.0,1
2023,600015,华夏银行,普惠金融,3.0,1
2023,600015,华夏银行,消费者权益保护,3.0,1
2023,600015,华夏银行,绿色信贷/绿色金融,3.0,1
2023,600016,民生银行,公司治理/风险管理,3.0,6
2023,600016,民生银行,员工权益,3.0,2
2023,600016,民生银行,普惠金融,3.0,2
2023,600016,民生银行,消费者权益保护,3.0,2
2023,600016,民生银行,绿色信贷/绿色金融,3.0,2
2023,600036,招商银行,公司治理/风险管理,5.0,3
2023,600036,招商银行,员工权益,5.0,1
2023,600036,招商银行,普惠金融,5.0,1
