company_code,company_name,issue_name,report_year,avg_verifiability_score,record_count
600036,招商银行,公司治理/风险管理,2021,5.0,3
600036,招商银行,公司治理/风险管理,2022,5.0,3
600036,招商银行,公司治理/风险管理,2023,5.0,3
600036,招商银行,公司治理/风险管理,2024,5.0,3
600036,招商银行,公司治理/风险管理,2025,4.0,3
600036,招商银行,员工权益,2021,5.0,1
600036,招商银行,员工权益,2022,5.0,1
600036,招商银行,员工权益,2023,5.0,1
600036,招商银行,员工权益,2024,5.0,1
600036,招商银行,员工权益,2025,4.0,1
600036,招商银行,普惠金融,2021,5.0,1
600036,招商银行,普惠金融,2022,5.0,1
600036,招商银行,普惠金融,2023,5.0,1
600036,招商银行,普惠金融,2024,5.0,1
600036,招商银行,普惠金融,2025,4.0,1
600036,招商银行,消费者权益保护,2021,5.0,1
600036,招商银行,消费者权益保护,2022,5.0,1
600036,招商银行,消费者权益保护,2023,5.0,1
600036,招商银行,消费者权益保护,2024,5.0,1
600036,招商银行,消费者权益保护,2025,4.0,1
600036,招商银行,绿色信贷/绿色金融,2021,5.0,1
600036,招商银行,绿色信贷/绿色金融,2022,5.0,1
600036,招商银行,绿色信贷/绿色金融,2023,5.0,1
600036,招商银行,绿色信贷/绿色金融,2024,5.0,1
600036,招商银行,绿色信贷/绿色金融,2025,4.0,1
600908,无锡银行,公司治理/风险管理,2021,2.0,3
600908,无锡银行,公司治理/风险管理,2022,2.0,3
600908,无锡银行,公司治理/风险管理,2023,3.0,3
600908,无锡银行,公司治理/风险管理,2024,3.0,3
600908,无锡银行,公司治理/风险管理,2025,3.0,3
600908,无锡银行,员工权益,2021,2.0,1
600908,无锡银行,员工权益,2022,2.0,1
600908,无锡银行,员工权益,2023,3.0,1
600908,无锡银行,员工权益,2024,3.0,1
600908,无锡银行,员工权益,2025,3.0,1
600908,无锡银行,普惠金融,2021,2.0,1
600908,无锡银行,普惠金融,2022,2.0,1
600908,无锡银行,普惠金融,2023,3.0,1
600908,无锡银行,普惠金融,2024,3.0,1
600908,无锡银行,普惠金融,2025,3.0,1
600908,无锡银行,消费者权益保护,2021,2.0,1
600908,无锡银行,消费者权益保护,2022,2.0,1
600908,无锡银行,消费者权益保护,2023,3.0,1
600908,无锡银行,消费者权益保护,2024,3.0,1
600908,无锡银行,消费者权益保护,2025,3.0,1
600908,无锡银行,绿色信贷/绿色金融,2021,2.0,1
600908,无锡银行,绿色信贷/绿色金融,2022,2.0,1
600908,无锡银行,绿色信贷/绿色金融,2023,3.0,1
600908,无锡银行,绿色信贷/绿色金融,2024,3.0,1
600908,无锡银行,绿色信贷/绿色金融,2025,3.0,1
600919,江苏银行,公司治理/风险管理,2021,5.0,3
600919,江苏银行,公司治理/风险管理,2022,4.0,3
600919,江苏银行,公司治理/风险管理,2023,4.0,3
600919,江苏银行,公司治理/风险管理,2024,4.0,3
600919,江苏银行,公司治理/风险管理,2025,4.0,3
600919,江苏银行,员工权益,2021,5.0,1
600919,江苏银行,员工权益,2022,4.0,1
600919,江苏银行,员工权益,2023,4.0,1
600919,江苏银行,员工权益,2024,4.0,1
600919,江苏银行,员工权益,2025,4.0,1
600919,江苏银行,普惠金融,2021,5.0,1
600919,江苏银行,普惠金融,2022,4.0,1
600919,江苏银行,普惠金融,2023,4.0,1
600919,江苏银行,普惠金融,2024,4.0,1
600919,江苏银行,普惠金融,2025,4.0,1
600919,江苏银行,消费者权益保护,2021,5.0,1
600919,江苏银行,消费者权益保护,2022,4.0,1
600919,江苏银行,消费者权益保护,2023,4.0,1
600919,江苏银行,消费者权益保护,2024,4.0,1
600919,江苏银行,消费者权益保护,2025,4.0,1
600919,江苏银行,绿色信贷/绿色金融,2021,5.0,1
600919,江苏银行,绿色信贷/绿色金融,2022,4.0,1
600919,江苏银行,绿色信贷/绿色金融,2023,4.0,1
