stock_code,stock_name,announcement_title,publish_date,pdf_url,source,error_message
600036,招商银行,招商银行股份有限公司2023年度<em>可持续</em><em>发展</em><em>报告</em>,2024-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600036&announcementId=1219403492&orgId=gssh0600036&announcementTime=2024-03-26,akshare_cninfo,
600036,招商银行,招商银行股份有限公司2024年度<em>可持续</em><em>发展</em><em>报告</em>,2025-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600036&announcementId=1222895146&orgId=gssh0600036&announcementTime=2025-03-26,akshare_cninfo,
601166,兴业银行,兴业银行股份有限公司2021年度<em>可持续</em><em>发展</em><em>报告</em>,2022-03-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601166&announcementId=1212671858&orgId=9900002081&announcementTime=2022-03-25,akshare_cninfo,
601166,兴业银行,兴业银行股份有限公司2022年年度<em>可持续</em><em>发展</em><em>报告</em>,2023-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601166&announcementId=1216279419&orgId=9900002081&announcementTime=2023-03-31,akshare_cninfo,
601166,兴业银行,兴业银行2023年年度<em>可持续</em><em>发展</em><em>报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601166&announcementId=1219445712&orgId=9900002081&announcementTime=2024-03-29,akshare_cninfo,
601166,兴业银行,兴业银行2024年年度<em>可持续</em><em>发展</em><em>报告</em>,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601166&announcementId=1222927162&orgId=9900002081&announcementTime=2025-03-28,akshare_cninfo,
601166,兴业银行,兴业银行2025年年度<em>可持续</em><em>发展</em><em>报告</em>,2026-03-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601166&announcementId=1225039296&orgId=9900002081&announcementTime=2026-03-27,akshare_cninfo,
601998,中信银行,中信银行股份有限公司2021年度<em>可持续</em><em>发展</em><em>报告</em>,2022-03-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601998&announcementId=1212669953&orgId=9900002721&announcementTime=2022-03-25,akshare_cninfo,
601998,中信银行,中信银行股份有限公司2022年度<em>可持续</em><em>发展</em><em>报告</em>,2023-03-24,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601998&announcementId=1216202398&orgId=9900002721&announcementTime=2023-03-24,akshare_cninfo,
601998,中信银行,中信银行股份有限公司2023年度<em>可持续</em><em>发展</em><em>报告</em>,2024-03-22,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601998&announcementId=1219375053&orgId=9900002721&announcementTime=2024-03-22,akshare_cninfo,
601998,中信银行,中信银行股份有限公司2024年度<em>可持续</em><em>发展</em><em>报告</em>,2025-03-27,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601998&announcementId=1222911387&orgId=9900002721&announcementTime=2025-03-27,akshare_cninfo,
600000,浦发银行,上海浦东发展银行股份有限公司2021年企业<em>社会</em><em>责任</em><em>报告</em>,2022-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600000&announcementId=1213175134&orgId=gssh0600000&announcementTime=2022-04-28,akshare_cninfo,
600000,浦发银行,上海浦东发展银行股份有限公司2022年企业<em>社会</em><em>责任</em><em>报告</em>,2023-04-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600000&announcementId=1216456472&orgId=gssh0600000&announcementTime=2023-04-19,akshare_cninfo,
600000,浦发银行,浦发银行2023年度企业<em>社会</em><em>责任</em><em>报告</em>（环境、<em>社会</em>及治理<em>报告</em>）,2024-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600000&announcementId=1219910195&orgId=gssh0600000&announcementTime=2024-04-30,akshare_cninfo,
